"Supplementary Table 4.1 Phenotype data formatted for calculating ANOVA, MLM, and REML",,,,,,,,,,,,,,,,,,,,,,,
Subpopulation,Plate ID,Well,Plate row,Plate column,Genotype,Experiment Replicate,Experiment,Au,Cube Root Au,Anthesis date,Induction date,Harvest date,Grind date,Phadebas Date,Anthesis-Induction,Anthesis-Harvest,Harvest-Grind,Grind-Phadebas,Rht-B1,Rht-D1,Rht Genotype,,
HT080125LU,P00048,E07,E,7,33,T1,T,0.132,0.509164337,3/24/2021,4/16/2021,6/2/2021,9/15/2022,11/21/2022,23,70,470,67,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00046,H02,H,2,P11,C1,C,0.132,0.509164337,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00035,F01,F,1,38,C1,C,0.137,0.515513674,4/18/2021,5/4/2021,6/7/2021,7/22/2022,8/16/2022,16,50,410,25,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00049,C01,C,1,7,C1,C,0.137,0.515513674,3/31/2021,4/26/2021,6/3/2021,9/13/2022,11/21/2022,26,64,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,C01,C,1,3,C2,C,0.137,0.515513674,4/5/2021,4/29/2021,6/4/2021,9/8/2022,11/21/2022,24,60,461,74,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00043,H07,H,7,P11,C1,C,0.139,0.518010147,4/7/2021,5/2/2021,6/4/2021,9/12/2022,10/18/2022,25,58,465,36,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00039,H01,H,1,P11,C1,C,0.141,0.520482786,4/26/2021,5/16/2021,6/17/2021,NA,8/30/2022,20,52,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00048,H07,H,7,P11,T3,T,0.142,0.521710345,3/29/2021,4/22/2021,6/3/2021,10/10/2022,11/21/2022,24,66,494,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,H07,H,7,P11,C2,C,0.142,0.521710345,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00043,E02,E,2,40,T2,T,0.142,0.521710345,5/14/2021,5/29/2021,7/5/2021,7/26/2022,10/18/2022,15,52,386,84,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00050,C08,C,8,33,T2,T,0.143,0.522932153,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00049,B07,B,7,33,C1,C,0.144,0.524148279,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00045,D08,D,8,P11,C2,C,0.144,0.524148279,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00033,F09,F,9,21,T3,T,0.145,0.525358787,4/11/2021,5/2/2021,6/9/2021,7/19/2022,8/16/2022,21,59,405,28,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00040,D01,D,1,P11,C1,C,0.145,0.525358787,4/2/2021,4/28/2021,6/3/2021,8/22/2022,10/18/2022,26,62,445,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,D07,D,7,P11,C2,C,0.145,0.525358787,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00034,H08,H,8,P11,C3,C,0.146,0.526563743,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00041,H06,H,6,P11,C2,C,0.146,0.526563743,4/6/2021,5/2/2021,6/4/2021,9/6/2022,10/18/2022,26,59,459,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,B06,B,6,33,C1,C,0.146,0.526563743,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00040,H04,H,4,P11,C1,C,0.146,0.526563743,4/2/2021,4/28/2021,6/3/2021,8/22/2022,10/18/2022,26,62,445,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00039,D01,D,1,P11,C1,C,0.146,0.526563743,4/26/2021,5/16/2021,6/17/2021,NA,8/30/2022,20,52,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00029,H06,H,6,P11,T2,T,0.147,0.527763209,4/23/2021,5/16/2021,6/22/2021,7/18/2022,8/2/2022,23,60,391,15,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00041,H05,H,5,P11,C2,C,0.147,0.527763209,4/6/2021,5/2/2021,6/4/2021,9/6/2022,10/18/2022,26,59,459,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00034,D06,D,6,P11,C3,C,0.148,0.528957247,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00048,D06,D,6,P11,T3,T,0.148,0.528957247,3/29/2021,4/22/2021,6/3/2021,10/10/2022,11/21/2022,24,66,494,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00037,D06,D,6,P11,C1,C,0.148,0.528957247,4/12/2021,5/7/2021,6/9/2021,7/14/2022,8/30/2022,25,58,400,47,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00050,B08,B,8,26,T1,T,0.148,0.528957247,4/7/2021,5/3/2021,6/9/2021,9/27/2022,11/21/2022,26,63,475,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00050,C05,C,5,33,T2,T,0.148,0.528957247,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00034,D08,D,8,P11,C3,C,0.149,0.530145919,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00034,H06,H,6,P11,C3,C,0.149,0.530145919,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00041,D05,D,5,P11,C2,C,0.149,0.530145919,4/6/2021,5/2/2021,6/4/2021,9/6/2022,10/18/2022,26,59,459,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00048,D07,D,7,P11,T3,T,0.149,0.530145919,3/29/2021,4/22/2021,6/3/2021,10/10/2022,11/21/2022,24,66,494,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00048,H06,H,6,P11,T3,T,0.149,0.530145919,3/29/2021,4/22/2021,6/3/2021,10/10/2022,11/21/2022,24,66,494,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00040,A07,A,7,38,T2,T,0.149,0.530145919,4/9/2021,5/2/2021,6/9/2021,7/13/2022,10/18/2022,23,61,399,97,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00046,H04,H,4,P11,C1,C,0.149,0.530145919,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00031,D02,D,2,P11,C2,C,0.149,0.530145919,4/16/2021,5/10/2021,6/14/2021,NA,8/2/2022,24,59,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00033,B09,B,9,21,T3,T,0.15,0.531329285,4/11/2021,5/2/2021,6/9/2021,7/19/2022,8/16/2022,21,59,405,28,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00050,G09,G,9,33,T2,T,0.15,0.531329285,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00040,H01,H,1,P11,C1,C,0.15,0.531329285,4/2/2021,4/28/2021,6/3/2021,8/22/2022,10/18/2022,26,62,445,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,F06,F,6,33,C1,C,0.151,0.532507402,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00043,E05,E,5,40,T2,T,0.151,0.532507402,5/14/2021,5/29/2021,7/5/2021,7/26/2022,10/18/2022,15,52,386,84,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00038,H07,H,7,P2,T1,T,0.151,0.532507402,4/4/2021,4/30/2021,6/7/2021,NA,8/30/2022,26,64,NA,NA,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00034,D05,D,5,P11,C3,C,0.152,0.53368033,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00035,G12,G,12,38,C1,C,0.152,0.53368033,4/18/2021,5/4/2021,6/7/2021,7/22/2022,8/16/2022,16,50,410,25,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00043,H08,H,8,P11,C1,C,0.152,0.53368033,4/7/2021,5/2/2021,6/4/2021,9/12/2022,10/18/2022,25,58,465,36,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00037,D07,D,7,P11,C1,C,0.152,0.53368033,4/12/2021,5/7/2021,6/9/2021,7/14/2022,8/30/2022,25,58,400,47,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00040,D04,D,4,P11,C1,C,0.152,0.53368033,4/2/2021,4/28/2021,6/3/2021,8/22/2022,10/18/2022,26,62,445,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,H08,H,8,P11,C2,C,0.152,0.53368033,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00040,E07,E,7,38,T2,T,0.152,0.53368033,4/9/2021,5/2/2021,6/9/2021,7/13/2022,10/18/2022,23,61,399,97,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00034,H05,H,5,P11,C3,C,0.154,0.536010841,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,H06,H,6,34,C1,C,0.154,0.536010841,4/5/2021,4/26/2021,6/3/2021,10/31/2022,11/21/2022,21,59,515,21,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,H03,H,3,34,C1,C,0.154,0.536010841,4/5/2021,4/26/2021,6/3/2021,10/31/2022,11/21/2022,21,59,515,21,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00038,H01,H,1,P11,T2,T,0.154,0.536010841,4/4/2021,5/1/2021,6/7/2021,8/4/2022,8/30/2022,27,64,423,26,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00041,D06,D,6,P11,C2,C,0.154,0.536010841,4/6/2021,5/2/2021,6/4/2021,9/6/2022,10/18/2022,26,59,459,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00050,G05,G,5,33,T2,T,0.154,0.536010841,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00042,H08,H,8,P11,T3,T,0.154,0.536010841,4/12/2021,5/10/2021,6/17/2021,8/22/2022,10/18/2022,28,66,431,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,C08,C,8,7,C1,C,0.154,0.536010841,3/31/2021,4/26/2021,6/3/2021,9/13/2022,11/21/2022,26,64,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,F11,F,11,26,C3,C,0.154,0.536010841,4/7/2021,5/2/2021,6/4/2021,9/6/2022,11/21/2022,25,58,459,76,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00040,E04,E,4,38,T2,T,0.154,0.536010841,4/9/2021,5/2/2021,6/9/2021,7/13/2022,10/18/2022,23,61,399,97,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00038,H06,H,6,P2,T1,T,0.154,0.536010841,4/4/2021,4/30/2021,6/7/2021,NA,8/30/2022,26,64,NA,NA,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00029,D06,D,6,P11,T2,T,0.155,0.537168535,4/23/2021,5/16/2021,6/22/2021,7/18/2022,8/2/2022,23,60,391,15,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00035,B01,B,1,38,C1,C,0.155,0.537168535,4/18/2021,5/4/2021,6/7/2021,7/22/2022,8/16/2022,16,50,410,25,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00035,C12,C,12,38,C1,C,0.155,0.537168535,4/18/2021,5/4/2021,6/7/2021,7/22/2022,8/16/2022,16,50,410,25,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00051,G01,G,1,7,C2,C,0.155,0.537168535,3/31/2021,4/26/2021,6/3/2021,10/12/2022,11/21/2022,26,64,496,40,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00042,H07,H,7,P11,T3,T,0.155,0.537168535,4/12/2021,5/10/2021,6/17/2021,8/22/2022,10/18/2022,28,66,431,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,E11,E,11,33,C2,C,0.155,0.537168535,3/26/2021,4/16/2021,6/2/2021,9/16/2022,11/21/2022,21,68,471,66,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00045,H06,H,6,P11,C2,C,0.155,0.537168535,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,E01,E,1,15,C1,C,0.155,0.537168535,4/14/2021,5/2/2021,6/7/2021,9/8/2022,11/21/2022,18,54,458,74,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00034,D07,D,7,P11,C3,C,0.156,0.538321261,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00033,F10,F,10,21,T3,T,0.156,0.538321261,4/11/2021,5/2/2021,6/9/2021,7/19/2022,8/16/2022,21,59,405,28,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00051,C04,C,4,7,C2,C,0.156,0.538321261,3/31/2021,4/26/2021,6/3/2021,10/12/2022,11/21/2022,26,64,496,40,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00037,H06,H,6,P11,C1,C,0.156,0.538321261,4/12/2021,5/7/2021,6/9/2021,7/14/2022,8/30/2022,25,58,400,47,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00043,F04,F,4,38,C3,C,0.156,0.538321261,4/16/2021,5/3/2021,6/7/2021,8/17/2022,10/18/2022,17,52,436,62,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00047,A10,A,10,48,C1,C,0.156,0.538321261,4/5/2021,4/30/2021,6/4/2021,9/6/2022,11/21/2022,25,60,459,76,NA,NA,NA,,
HT080125LU,P00031,H02,H,2,P11,C2,C,0.156,0.538321261,4/16/2021,5/10/2021,6/14/2021,NA,8/2/2022,24,59,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00030,H06,H,6,P11,C3,C,0.156,0.538321261,4/20/2021,5/13/2021,6/14/2021,NA,8/2/2022,23,55,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00039,D04,D,4,P11,C1,C,0.156,0.538321261,4/26/2021,5/16/2021,6/17/2021,NA,8/30/2022,20,52,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00047,H01,H,1,P2,C3,C,0.157,0.539469071,3/24/2021,4/18/2021,6/2/2021,9/27/2022,11/21/2022,25,70,482,55,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00049,F07,F,7,33,C1,C,0.157,0.539469071,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00048,A08,A,8,33,T1,T,0.157,0.539469071,3/24/2021,4/16/2021,6/2/2021,9/15/2022,11/21/2022,23,70,470,67,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00045,A01,A,1,15,C1,C,0.157,0.539469071,4/14/2021,5/2/2021,6/7/2021,9/8/2022,11/21/2022,18,54,458,74,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00034,H07,H,7,P11,C3,C,0.158,0.540612018,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00035,H01,H,1,P2,T2,T,0.158,0.540612018,4/3/2021,4/29/2021,6/7/2021,7/22/2022,8/16/2022,26,65,410,25,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00038,H04,H,4,P11,T2,T,0.158,0.540612018,4/4/2021,5/1/2021,6/7/2021,8/4/2022,8/30/2022,27,64,423,26,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00038,G04,G,4,25,C1,C,0.158,0.540612018,4/27/2021,5/20/2021,6/22/2021,7/21/2022,8/30/2022,23,56,394,40,Rht-B1a,Het,semi-dwarf D,,
HT080125LU,P00051,G04,G,4,7,C2,C,0.158,0.540612018,3/31/2021,4/26/2021,6/3/2021,10/12/2022,11/21/2022,26,64,496,40,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00051,G05,G,5,7,C2,C,0.158,0.540612018,3/31/2021,4/26/2021,6/3/2021,10/12/2022,11/21/2022,26,64,496,40,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00041,H08,H,8,P11,C2,C,0.158,0.540612018,4/6/2021,5/2/2021,6/4/2021,9/6/2022,10/18/2022,26,59,459,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,G04,G,4,7,C1,C,0.158,0.540612018,3/31/2021,4/26/2021,6/3/2021,9/13/2022,11/21/2022,26,64,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00046,D02,D,2,P11,C1,C,0.158,0.540612018,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00032,D05,D,5,P11,C3,C,0.159,0.541750151,4/6/2021,5/4/2021,6/7/2021,8/5/2022,8/16/2022,28,62,424,11,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,C11,C,11,28,C2,C,0.159,0.541750151,4/9/2021,5/2/2021,6/7/2021,9/9/2022,11/21/2022,23,59,459,73,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00045,A08,A,8,15,C1,C,0.159,0.541750151,4/14/2021,5/2/2021,6/7/2021,9/8/2022,11/21/2022,18,54,458,74,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00049,E09,E,9,35,C1,C,0.16,0.542883523,3/29/2021,4/22/2021,6/3/2021,10/31/2022,11/21/2022,24,66,515,21,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00040,A04,A,4,38,T2,T,0.16,0.542883523,4/9/2021,5/2/2021,6/9/2021,7/13/2022,10/18/2022,23,61,399,97,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00030,D06,D,6,P11,C3,C,0.16,0.542883523,4/20/2021,5/13/2021,6/14/2021,NA,8/2/2022,23,55,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,A08,A,8,35,C1,C,0.161,0.544012183,3/29/2021,4/22/2021,6/3/2021,10/31/2022,11/21/2022,24,66,515,21,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00051,C08,C,8,7,C2,C,0.161,0.544012183,3/31/2021,4/26/2021,6/3/2021,10/12/2022,11/21/2022,26,64,496,40,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00037,B10,B,10,21,T1,T,0.161,0.544012183,4/15/2021,5/5/2021,6/14/2021,7/15/2022,8/30/2022,20,60,396,46,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00049,G05,G,5,7,C1,C,0.161,0.544012183,3/31/2021,4/26/2021,6/3/2021,9/13/2022,11/21/2022,26,64,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,B07,B,7,7,T2,T,0.161,0.544012183,4/1/2021,4/27/2021,6/4/2021,9/8/2022,11/21/2022,26,64,461,74,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,B01,B,1,7,T2,T,0.161,0.544012183,4/1/2021,4/27/2021,6/4/2021,9/8/2022,11/21/2022,26,64,461,74,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00047,H07,H,7,P11,T3,T,0.161,0.544012183,4/7/2021,5/3/2021,6/9/2021,8/29/2022,11/21/2022,26,63,446,84,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,A09,A,9,35,C1,C,0.162,0.545136178,3/29/2021,4/22/2021,6/3/2021,10/31/2022,11/21/2022,24,66,515,21,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00051,C01,C,1,7,C2,C,0.162,0.545136178,3/31/2021,4/26/2021,6/3/2021,10/12/2022,11/21/2022,26,64,496,40,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00037,H07,H,7,P11,C1,C,0.162,0.545136178,4/12/2021,5/7/2021,6/9/2021,7/14/2022,8/30/2022,25,58,400,47,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,B04,B,4,19,C2,C,0.162,0.545136178,3/29/2021,4/22/2021,6/3/2021,9/13/2022,11/21/2022,24,66,467,69,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00038,H08,H,8,P2,T1,T,0.162,0.545136178,4/4/2021,4/30/2021,6/7/2021,NA,8/30/2022,26,64,NA,NA,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00039,H04,H,4,P11,C1,C,0.162,0.545136178,4/26/2021,5/16/2021,6/17/2021,NA,8/30/2022,20,52,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00035,D01,D,1,P2,T2,T,0.163,0.546255557,4/3/2021,4/29/2021,6/7/2021,7/22/2022,8/16/2022,26,65,410,25,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,P00043,H05,H,5,P11,C1,C,0.163,0.546255557,4/7/2021,5/2/2021,6/4/2021,9/12/2022,10/18/2022,25,58,465,36,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00038,C05,C,5,25,C1,C,0.163,0.546255557,4/27/2021,5/20/2021,6/22/2021,7/21/2022,8/30/2022,23,56,394,40,Rht-B1a,Het,semi-dwarf D,,
HT080125LU,P00051,G08,G,8,7,C2,C,0.163,0.546255557,3/31/2021,4/26/2021,6/3/2021,10/12/2022,11/21/2022,26,64,496,40,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00050,C12,C,12,33,T2,T,0.163,0.546255557,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00042,D08,D,8,P11,T3,T,0.163,0.546255557,4/12/2021,5/10/2021,6/17/2021,8/22/2022,10/18/2022,28,66,431,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00048,H02,H,2,33,C3,C,0.163,0.546255557,3/23/2021,4/16/2021,6/2/2021,9/15/2022,11/21/2022,24,71,470,67,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00049,C04,C,4,7,C1,C,0.163,0.546255557,3/31/2021,4/26/2021,6/3/2021,9/13/2022,11/21/2022,26,64,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,D06,D,6,P11,C2,C,0.163,0.546255557,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
